,time (sec),time since last (sec),mean update period:,mean update freq (Hz):
1372169738,0,,0.020,50.08503304
1372169738,0.020000219,0.020000219,stdev (sec),
1372169738,0.0400002,0.019999981,0.015,
1372169738,0.060000181,0.019999981,,
1372169738,0.080000162,0.019999981,,
1372169738,0.100000143,0.019999981,,
1372169738,0.110000134,0.00999999,,
1372169739,0.140000105,0.029999971,,
1372169739,0.160000086,0.019999981,,
1372169739,0.230000019,0.069999933,,
1372169739,0.300000191,0.070000172,,
1372169739,0.300000191,0,,
1372169739,0.300000191,0,,
1372169739,0.310000181,0.00999999,,
1372169739,0.320000172,0.00999999,,
1372169739,0.330000162,0.00999999,,
1372169739,0.340000153,0.00999999,,
1372169739,0.350000143,0.00999999,,
1372169739,0.360000134,0.00999999,,
1372169739,0.380000114,0.019999981,,
1372169739,0.400000095,0.019999981,,
1372169739,0.420000076,0.019999981,,
1372169739,0.440000057,0.019999981,,
1372169739,0.5,0.059999943,,
1372169739,0.5,0,,
1372169739,0.510000229,0.010000229,,
1372169739,0.520000219,0.00999999,,
1372169739,0.5400002,0.019999981,,
1372169739,0.560000181,0.019999981,,
1372169739,0.580000162,0.019999981,,
1372169739,0.600000143,0.019999981,,
1372169739,0.620000124,0.019999981,,
1372169739,0.640000105,0.019999981,,
1372169739,0.660000086,0.019999981,,
1372169739,0.680000067,0.019999981,,
1372169739,0.700000048,0.019999981,,
1372169739,0.770000219,0.070000172,,
1372169739,0.78000021,0.00999999,,
1372169739,0.78000021,0,,
1372169739,0.7900002,0.00999999,,
1372169739,0.800000191,0.00999999,,
1372169739,0.820000172,0.019999981,,
1372169739,0.840000153,0.019999981,,
1372169739,0.860000134,0.019999981,,
1372169739,0.880000114,0.019999981,,
1372169739,0.900000095,0.019999981,,
1372169739,0.920000076,0.019999981,,
1372169739,0.940000057,0.019999981,,
1372169739,0.960000038,0.019999981,,
1372169739,1.010000229,0.050000191,,
1372169739,1.020000219,0.00999999,,
1372169739,1.03000021,0.00999999,,
1372169739,1.0400002,0.00999999,,
1372169739,1.060000181,0.019999981,,
1372169739,1.080000162,0.019999981,,
1372169739,1.100000143,0.019999981,,
1372169739,1.120000124,0.019999981,,
1372169740,1.140000105,0.019999981,,
1372169740,1.160000086,0.019999981,,
1372169740,1.180000067,0.019999981,,
1372169740,1.200000048,0.019999981,,
1372169740,1.220000029,0.019999981,,
1372169740,1.300000191,0.080000162,,
1372169740,1.300000191,0,,
1372169740,1.310000181,0.00999999,,
1372169740,1.310000181,0,,
1372169740,1.320000172,0.00999999,,
1372169740,1.340000153,0.019999981,,
1372169740,1.360000134,0.019999981,,
1372169740,1.380000114,0.019999981,,
1372169740,1.400000095,0.019999981,,
1372169740,1.420000076,0.019999981,,
1372169740,1.440000057,0.019999981,,
1372169740,1.460000038,0.019999981,,
1372169740,1.480000019,0.019999981,,
1372169740,1.5400002,0.060000181,,
1372169740,1.5400002,0,,
1372169740,1.550000191,0.00999999,,
1372169740,1.560000181,0.00999999,,
1372169740,1.580000162,0.019999981,,
1372169740,1.600000143,0.019999981,,
1372169740,1.620000124,0.019999981,,
1372169740,1.640000105,0.019999981,,
1372169740,1.660000086,0.019999981,,
1372169740,1.680000067,0.019999981,,
1372169740,1.700000048,0.019999981,,
1372169740,1.720000029,0.019999981,,
1372169740,1.74000001,0.019999981,,
1372169740,1.830000162,0.090000153,,
1372169740,1.830000162,0,,
1372169740,1.830000162,0,,
1372169740,1.840000153,0.00999999,,
1372169740,1.850000143,0.00999999,,
1372169740,1.860000134,0.00999999,,
1372169740,1.870000124,0.00999999,,
1372169740,1.900000095,0.029999971,,
1372169740,1.920000076,0.019999981,,
