Time (s),elevator,throttle,aileron,rudder,pitch(rad),arspd(m/s?),bank(rad),gps hdg(deg),ahrs hdg(rad)
4.46984183744e-06,-4400,65,-4400,-1,-0.00241497391835,0.747844278812,0.000562147353776,0,-0.0265390463173
0.195213078757,-4200,0,-4200,-1,0.00663210544735,0.256510555744,0.000452341744676,0,-0.0266322102398
0.200088279376,-4100,65,-4100,-1,0.00663210544735,0.256510555744,0.000452341744676,0,-0.0266322102398
0.230606403887,-4000,65,-4000,0,0.00663210544735,0.256510555744,0.000452341744676,0,-0.0266322102398
0.235154747321,-3900,65,-3900,0,0.00663210544735,0.256510555744,0.000452341744676,0,-0.0266322102398
0.240376360683,-3800,65,-3800,0,0.00663210544735,0.256510555744,0.000452341744676,0,-0.0266322102398
0.24480960569,-3700,65,-3700,0,0.00663210544735,0.256510555744,0.000452341744676,0,-0.0266322102398
0.248574329978,-3600,65,-3600,0,0.00663210544735,0.256510555744,0.000452341744676,0,-0.0266322102398
0.252791067021,-3500,65,-3500,0,0.00663210544735,0.256510555744,0.000452341744676,0,-0.0266322102398
0.257607880331,-3400,65,-3400,0,0.00663210544735,0.256510555744,0.000452341744676,0,-0.0266322102398
0.262699868279,-3300,65,-3300,0,0.00663210544735,0.256510555744,0.000452341744676,0,-0.0266322102398
0.267388453002,-3200,65,-3200,-1,0.00663210544735,0.256510555744,0.000452341744676,0,-0.0266322102398
0.27235863776,-3100,65,-3100,0,0.00663210544735,0.256510555744,0.000452341744676,0,-0.0266322102398
0.442381643477,-2900,0,-2900,0,0.022857343778,0.624137043953,0.000299216306303,0,-0.026836482808
0.44707246312,-2800,65,-2800,0,0.022857343778,0.624137043953,0.000299216306303,0,-0.026836482808
0.453955740185,-2700,65,-2700,-1,0.022857343778,0.624137043953,0.000299216306303,0,-0.026836482808
0.458830940804,-2600,65,-2600,0,0.022857343778,0.624137043953,0.000299216306303,0,-0.026836482808
0.463827385883,-2500,65,-2500,0,0.022857343778,0.624137043953,0.000299216306303,0,-0.026836482808
0.468241634062,-2400,65,-2400,0,0.022857343778,0.624137043953,0.000299216306303,0,-0.026836482808
0.472132352017,-2300,65,-2300,0,0.022857343778,0.624137043953,0.000299216306303,0,-0.026836482808
0.476605825601,-2200,65,-2200,0,0.022857343778,0.624137043953,0.000299216306303,0,-0.026836482808
0.481302791277,-2100,65,-2100,0,0.022857343778,0.624137043953,0.000299216306303,0,-0.026836482808
0.486167934751,-2000,65,-2000,0,0.022857343778,0.624137043953,0.000299216306303,0,-0.026836482808
0.491142309986,-1900,65,-1900,0,0.022857343778,0.624137043953,0.000299216306303,0,-0.026836482808
0.496172278879,-1800,65,-1800,0,0.022857343778,0.624137043953,0.000299216306303,0,-0.026836482808
0.713671989038,-1600,0,-1600,0,-2.344690256e-05,0.894130289555,0.000271873374004,0,-0.0268789380789
0.718817056358,-1500,65,-1500,0,-2.344690256e-05,0.894130289555,0.000271873374004,0,-0.0268789380789
0.723439990278,-1400,65,-1400,0,-2.344690256e-05,0.894130289555,0.000271873374004,0,-0.0268789380789
0.742094037091,-1300,65,-1300,0,-2.344690256e-05,0.894130289555,0.000271873374004,0,-0.0268789380789
0.747039078989,-1200,65,-1200,0,-2.344690256e-05,0.894130289555,0.000271873374004,0,-0.0268789380789
0.752041670101,-1100,65,-1100,0,-2.344690256e-05,0.894130289555,0.000271873374004,0,-0.0268789380789
0.756693378628,-1000,65,-1000,0,-2.344690256e-05,0.894130289555,0.000271873374004,0,-0.0268789380789
0.761630039572,-900,65,-900,-1,-2.344690256e-05,0.894130289555,0.000271873374004,0,-0.0268789380789
0.766448249708,-800,65,-800,-1,-2.344690256e-05,0.894130289555,0.000271873374004,0,-0.0268789380789
0.771291043973,-700,65,-700,-1,-2.344690256e-05,0.894130289555,0.000271873374004,0,-0.0268789380789
0.781271642066,-600,65,-600,-1,-2.344690256e-05,0.894130289555,0.000271873374004,0,-0.0268789380789
0.786045712514,-500,65,-500,-1,-2.344690256e-05,0.894130289555,0.000271873374004,0,-0.0268789380789
1.18077269597,-300,0,-300,-1,-0.0197666026652,0.688047468662,0.000374390481738,0,-0.0269385967404
1.18549536324,-200,65,-200,-1,-0.0197666026652,0.688047468662,0.000374390481738,0,-0.0269385967404
1.19019763685,-100,65,-100,-1,-0.0197666026652,0.688047468662,0.000374390481738,0,-0.0269385967404
1.19510105335,0,65,0,-1,-0.0197666026652,0.688047468662,0.000374390481738,0,-0.0269385967404
1.20016985399,100,65,100,-1,-0.0197666026652,0.688047468662,0.000374390481738,0,-0.0269385967404
1.20521854035,200,65,200,-1,-0.0197666026652,0.688047468662,0.000374390481738,0,-0.0269385967404
1.20979621712,300,65,300,-1,-0.0197666026652,0.688047468662,0.000374390481738,0,-0.0269385967404
1.21464459869,400,65,400,-1,-0.0197666026652,0.688047468662,0.000374390481738,0,-0.0269385967404
1.21971703108,500,65,500,-1,-0.0197666026652,0.688047468662,0.000374390481738,0,-0.0269385967404
1.22460619995,600,65,600,-1,-0.0197666026652,0.688047468662,0.000374390481738,0,-0.0269385967404
1.22933752753,700,65,700,-1,-0.0197666026652,0.688047468662,0.000374390481738,0,-0.0269385967404
1.23416719164,800,65,800,-1,-0.0197666026652,0.688047468662,0.000374390481738,0,-0.0269385967404
1.46688811008,1000,0,1000,-1,-0.000559297041036,1.37261772156,0.000541537941899,0,-0.0270336568356
1.47136158366,1100,65,1100,-1,-0.000559297041036,1.37261772156,0.000541537941899,0,-0.0270336568356
1.47535566671,1200,65,1200,-1,-0.000559297041036,1.37261772156,0.000541537941899,0,-0.0270336568356
1.47901171797,1300,65,1300,-1,-0.000559297041036,1.37261772156,0.000541537941899,0,-0.0270336568356
1.48316196612,1400,65,1400,-1,-0.000559297041036,1.37261772156,0.000541537941899,0,-0.0270336568356
1.48703983327,1500,65,1500,-1,-0.000559297041036,1.37261772156,0.000541537941899,0,-0.0270336568356
1.49275871654,1600,65,1600,-1,-0.000559297041036,1.37261772156,0.000541537941899,0,-0.0270336568356
1.4969369012,1700,65,1700,-1,-0.000559297041036,1.37261772156,0.000541537941899,0,-0.0270336568356
1.50178388594,1800,65,1800,-1,-0.000559297041036,1.37261772156,0.000541537941899,0,-0.0270336568356
1.50677949292,1900,65,1900,-1,-0.000559297041036,1.37261772156,0.000541537941899,0,-0.0270336568356
1.51180359515,2000,65,2000,-1,-0.000559297041036,1.37261772156,0.000541537941899,0,-0.0270336568356
1.51613068141,2100,65,2100,-1,-0.000559297041036,1.37261772156,0.000541537941899,0,-0.0270336568356
1.8895669701,2300,0,2300,-1,-0.0110208559781,0.890979230404,0.000530447461642,0,-0.027081925422
1.89403904686,2400,65,2400,-1,-0.0110208559781,0.890979230404,0.000530447461642,0,-0.027081925422
1.89791076799,2500,65,2500,-1,-0.0110208559781,0.890979230404,0.000530447461642,0,-0.027081925422
1.90218170186,2600,65,2600,-1,-0.0110208559781,0.890979230404,0.000530447461642,0,-0.027081925422
1.90708595646,2700,65,2700,-1,-0.0110208559781,0.890979230404,0.000530447461642,0,-0.027081925422
1.91222487774,2800,65,2800,-1,-0.0110208559781,0.890979230404,0.000530447461642,0,-0.027081925422
1.91690340532,2900,65,2900,-1,-0.0110208559781,0.890979230404,0.000530447461642,0,-0.027081925422
1.92200489168,3000,65,3000,-1,-0.0110208559781,0.890979230404,0.000530447461642,0,-0.027081925422
1.92660212401,3100,65,3100,-1,-0.0110208559781,0.890979230404,0.000530447461642,0,-0.027081925422
1.931735458,3200,65,3200,-2,-0.0110208559781,0.890979230404,0.000530447461642,0,-0.027081925422
1.93640197288,3300,65,3300,-2,-0.0110208559781,0.890979230404,0.000530447461642,0,-0.027081925422
1.94142914812,3400,65,3400,-2,-0.0110208559781,0.890979230404,0.000530447461642,0,-0.027081925422
